antecedents,consequents,support,confidence,lift
"Online Co-Op, PvP","Co-op, Multiplayer",0.12413793103448276,0.9,2.439252336448598
"Action, Shooter",First-Person,0.11724137931034483,0.7727272727272727,2.435770750988142
"Multiplayer, Shooter",First-Person,0.10344827586206896,0.7692307692307693,2.4247491638795986
"Online Co-Op, Action, First-Person",Co-op,0.1,0.935483870967742,2.4222350230414746
Shooter,First-Person,0.1206896551724138,0.7608695652173912,2.398393194706994
"Adventure, Sandbox","Open World, Singleplayer",0.10344827586206896,0.7894736842105262,2.3848684210526314
"Online Co-Op, PvP",Co-op,0.12413793103448276,0.9,2.330357142857143
"Online Co-Op, PvP, Multiplayer",Co-op,0.12413793103448276,0.9,2.330357142857143
"Singleplayer, Tactical",Strategy,0.10689655172413794,0.7948717948717949,2.3284123284123286
"Open World, Exploration","Adventure, Singleplayer",0.10344827586206896,0.8108108108108107,2.328070644902328
"Online Co-Op, Action, Singleplayer",Co-op,0.1206896551724138,0.8974358974358976,2.323717948717949
"Online Co-Op, First-Person",Co-op,0.11724137931034483,0.894736842105263,2.3167293233082704
"Online Co-Op, Action, Multiplayer, Singleplayer",Co-op,0.11379310344827587,0.8918918918918919,2.3093629343629343
"Online Co-Op, First-Person, Multiplayer",Co-op,0.1103448275862069,0.8888888888888888,2.3015873015873014
"Story Rich, Action",Atmospheric,0.1206896551724138,0.7446808510638299,2.2974196468990495
"Online Co-Op, Action",Co-op,0.16206896551724137,0.8867924528301886,2.2961590296495955
"Story Rich, Action, Singleplayer",Atmospheric,0.1103448275862069,0.7441860465116279,2.2958931222167247
"Online Co-Op, Action, Singleplayer","Co-op, Multiplayer",0.11379310344827587,0.8461538461538463,2.2933141624730413
"Adventure, Co-op","Action, Multiplayer, Singleplayer",0.1103448275862069,0.7272727272727273,2.292490118577075
"Online Co-Op, Singleplayer","Co-op, Multiplayer",0.16896551724137931,0.8448275862068966,2.289719626168224
"Online Co-Op, First-Person","Co-op, Multiplayer",0.1103448275862069,0.8421052631578947,2.2823413674372848
"Online Co-Op, Action, Multiplayer",Co-op,0.15172413793103448,0.8799999999999999,2.2785714285714285
"Online Co-Op, Singleplayer",Co-op,0.17586206896551723,0.8793103448275861,2.276785714285714
"Realistic, Sports","Simulation, Multiplayer",0.1,0.8787878787878788,2.2754329004329006
"Online Co-Op, Singleplayer, Multiplayer",Co-op,0.16896551724137931,0.875,2.265625
"Online Co-Op, Action","Co-op, Multiplayer",0.15172413793103448,0.830188679245283,2.2500440839358133
"Adventure, Singleplayer, Sandbox",Open World,0.10344827586206896,0.8571428571428571,2.2193877551020407
"Online Co-Op, Multiplayer",Co-op,0.22413793103448276,0.8552631578947367,2.214520676691729
Online Co-Op,"Co-op, Multiplayer",0.22413793103448276,0.8125,2.2021028037383177
Online Co-Op,Co-op,0.23448275862068965,0.85,2.200892857142857
"Adventure, Co-op, Singleplayer","Action, Multiplayer",0.1103448275862069,0.8888888888888888,2.184557438794727
"Adventure, Sandbox",Open World,0.1103448275862069,0.8421052631578947,2.180451127819549
"Open World, Exploration, Singleplayer",Adventure,0.10344827586206896,0.9090909090909091,2.1788129226145756
"Co-op, First-Person, Singleplayer","Action, Multiplayer",0.10344827586206896,0.8823529411764706,2.168494516450648
"Co-op, Shooter","Action, Multiplayer",0.10344827586206896,0.8823529411764706,2.168494516450648
"Adventure, Exploration","Open World, Singleplayer",0.10344827586206896,0.7142857142857142,2.157738095238095
Tactical,Strategy,0.12413793103448276,0.7346938775510203,2.152133580705009
"Online Co-Op, Simulation",Co-op,0.1,0.8285714285714286,2.1454081632653064
"Strategy, Sandbox","Simulation, Singleplayer",0.1103448275862069,0.8888888888888888,2.130394857667585
"Multiplayer, Shooter",Co-op,0.1103448275862069,0.8205128205128206,2.124542124542125
"Multiplayer, Tactical",Strategy,0.10689655172413794,0.7209302325581396,2.1118158327460654
"Action, Multiplayer, Shooter",Co-op,0.10344827586206896,0.8108108108108107,2.0994208494208495
"Adventure, Exploration, Singleplayer",Open World,0.10344827586206896,0.8108108108108107,2.0994208494208495
"Action, Exploration","Adventure, Singleplayer",0.1,0.7250000000000001,2.081683168316832
"Open World, Exploration",Adventure,0.1103448275862069,0.8648648648648648,2.0728166182711636
Management,"Simulation, Singleplayer",0.12413793103448276,0.8571428571428571,2.0543093270365995
"Atmospheric, Open World, Action","Adventure, Singleplayer",0.10344827586206896,0.7142857142857142,2.050919377652051
"Singleplayer, Sports","Simulation, Multiplayer",0.16896551724137931,0.7903225806451613,2.0463709677419355
"Action, Exploration, Singleplayer",Adventure,0.1,0.8529411764705883,2.0442391832766167
"First-Person, Shooter","Action, Multiplayer",0.1,0.8285714285714286,2.036319612590799
"Adventure, Co-op","Action, Multiplayer",0.12413793103448276,0.8181818181818182,2.0107858243451466
"Racing, Sports","Simulation, Multiplayer",0.11379310344827587,0.7674418604651163,1.9871262458471761
"Co-op, Atmospheric","Action, Multiplayer",0.1,0.8055555555555556,1.9797551789077215
"Open World, RPG",Adventure,0.11379310344827587,0.8250000000000001,1.9772727272727275
Shooter,"Action, Multiplayer",0.12758620689655173,0.8043478260869565,1.976787030213707
"Adventure, Exploration",Open World,0.1103448275862069,0.7619047619047619,1.9727891156462585
Sports,"Simulation, Multiplayer",0.2,0.7532467532467534,1.950371057513915
"Co-op, First-Person","Action, Multiplayer",0.1310344827586207,0.7916666666666667,1.9456214689265539
"Atmospheric, Singleplayer, Open World, Action",Adventure,0.10344827586206896,0.8108108108108107,1.9432655796292158
"Adventure, Simulation",Open World,0.10344827586206896,0.75,1.9419642857142858
"Action, Sandbox",Open World,0.11379310344827587,0.75,1.9419642857142858
"Atmospheric, Open World, Action",Adventure,0.11724137931034483,0.8095238095238094,1.9401810310901217
"Atmospheric, Exploration",Adventure,0.1,0.8055555555555556,1.9306703397612488
"Action, RPG, Singleplayer",Adventure,0.11379310344827587,0.8048780487804879,1.9290465631929048
Racing,"Simulation, Multiplayer",0.1206896551724138,0.7446808510638299,1.9281914893617023
"Adventure, First-Person, Singleplayer",Open World,0.1,0.7435897435897437,1.9253663003663006
"First-Person, FPS","Action, Multiplayer",0.1103448275862069,0.7804878048780487,1.9181479950392724
"Adventure, Atmospheric, Singleplayer",Open World,0.12758620689655173,0.74,1.9160714285714286
Shooter,Co-op,0.11724137931034483,0.7391304347826086,1.9138198757763973
"Action, RPG",Adventure,0.13448275862068965,0.7959183673469387,1.9075729465339852
"Adventure, Atmospheric, Singleplayer, Action",Open World,0.10344827586206896,0.7317073170731707,1.8945993031358885
"Action, Third Person, Singleplayer",Adventure,0.12758620689655173,0.7872340425531915,1.886759275540707
"Exploration, Singleplayer",Adventure,0.12758620689655173,0.7872340425531915,1.886759275540707
"Action, Shooter",Co-op,0.1103448275862069,0.7272727272727273,1.8831168831168832
"Adventure, Third Person","Action, Singleplayer",0.12758620689655173,0.8409090909090909,1.8758741258741258
"Online Co-Op, First-Person","Action, Multiplayer",0.1,0.763157894736842,1.875557537912578
"Adventure, Atmospheric, Action",Open World,0.11724137931034483,0.723404255319149,1.8731003039513678
"Co-op, Open World","Action, Multiplayer",0.1103448275862069,0.7619047619047619,1.8724778046811945
"Realistic, Multiplayer, Sports",Simulation,0.1,0.9666666666666668,1.868888888888889
"Multiplayer, Tactical",Co-op,0.10689655172413794,0.7209302325581396,1.8666943521594686
"Atmospheric, Open World",Adventure,0.14482758620689656,0.7777777777777778,1.8640955004591369
"Story Rich, RPG",Adventure,0.10689655172413794,0.775,1.8574380165289257
"Action, Exploration",Adventure,0.10689655172413794,0.775,1.8574380165289257
"First-Person, Action, Multiplayer",Co-op,0.1310344827586207,0.7169811320754718,1.856469002695418
"Singleplayer, Action, First-Person, Multiplayer",Co-op,0.10344827586206896,0.7142857142857142,1.8494897959183672
"Atmospheric, Singleplayer, Open World",Adventure,0.12758620689655173,0.7708333333333334,1.847451790633609
Building,"Simulation, Singleplayer",0.10344827586206896,0.7692307692307693,1.8436109345200256
"Realistic, Singleplayer","Simulation, Multiplayer",0.14482758620689656,0.7118644067796611,1.843220338983051
"Adventure, Atmospheric",Open World,0.14482758620689656,0.7118644067796611,1.843220338983051
FPS,"Action, Multiplayer",0.11379310344827587,0.75,1.843220338983051
"First-Person, FPS",Co-op,0.1,0.7073170731707317,1.831445993031359
"Adventure, Great Soundtrack","Action, Singleplayer",0.1103448275862069,0.8205128205128206,1.8303747534516768
"Strategy, Sandbox",Simulation,0.11724137931034483,0.9444444444444444,1.8259259259259257
"Adventure, First-Person",Open World,0.10689655172413794,0.7045454545454546,1.8242694805194806
