bin_left,bin_right,count
0.1,12.597499999999998,23337
12.597499999999998,25.095,18238
25.095,37.592499999999994,12618
37.592499999999994,50.089999999999996,9929
50.089999999999996,62.5875,7846
62.5875,75.08499999999998,6337
75.08499999999998,87.58249999999998,5097
87.58249999999998,100.07999999999998,4157
100.07999999999998,112.57749999999999,3816
112.57749999999999,125.07499999999999,3134
125.07499999999999,137.5725,2671
137.5725,150.06999999999996,2480
150.06999999999996,162.56749999999997,2283
162.56749999999997,175.06499999999997,1968
175.06499999999997,187.56249999999997,1812
187.56249999999997,200.05999999999997,1638
200.05999999999997,212.55749999999998,1509
212.55749999999998,225.05499999999998,1400
225.05499999999998,237.55249999999998,1287
237.55249999999998,250.04999999999998,1247
250.04999999999998,262.5475,1123
262.5475,275.045,1067
275.045,287.5425,1008
287.5425,300.03999999999996,890
300.03999999999996,312.53749999999997,844
312.53749999999997,325.03499999999997,794
325.03499999999997,337.53249999999997,827
337.53249999999997,350.03,766
350.03,362.5275,739
362.5275,375.025,639
375.025,387.5225,680
387.5225,400.02,594
400.02,412.5175,569
412.5175,425.015,573
425.015,437.5125,521
437.5125,450.01,553
450.01,462.5075,500
462.5075,475.005,504
475.005,487.5025,439
487.5025,500.0,10151
